fecha,precio
2017-02-05,21.952857142857145
2017-02-12,21.952857142857145
2017-02-19,21.952857142857145
2017-02-26,21.266666666666666
2017-03-05,21.266666666666666
2017-03-12,21.266666666666666
2017-03-19,21.266666666666666
2017-03-26,21.32524590163932
2017-04-02,21.32524590163932
2017-04-09,21.32524590163932
2017-04-16,21.32524590163932
2017-04-23,20.910447761194025
2017-04-30,20.910447761194025
2017-05-07,20.910447761194025
2017-05-14,20.910447761194025
2017-05-21,21.86
2017-05-28,21.86
2017-06-04,21.86
2017-06-11,21.86
2017-06-18,21.86
2017-06-25,21.86
2017-07-02,21.86
2017-07-09,21.86
2017-07-16,21.86
2017-07-23,22.976599999999994
2017-07-30,22.976599999999994
2017-08-06,22.976599999999994
2017-08-13,22.976599999999994
2017-08-20,22.976599999999994
2017-08-27,21.744999999999997
2017-09-03,21.744999999999997
2017-09-10,21.744999999999997
2017-09-17,21.744999999999997
2017-09-24,22.933333333333334
2017-10-01,22.933333333333334
2017-10-08,22.933333333333334
2017-10-15,22.933333333333334
2017-10-22,24.909130434782618
2017-10-29,24.909130434782618
2017-11-05,24.909130434782618
2017-11-12,24.909130434782618
2017-11-19,24.909130434782618
2017-11-26,25.52
2017-12-03,25.52
2017-12-10,25.52
2017-12-17,25.52
2017-12-24,25.45823529411765
2017-12-31,25.45823529411765
2018-01-07,25.45823529411765
2018-01-14,25.45823529411765
2018-01-21,25.86777777777778
2018-01-28,25.86777777777778
2018-02-04,25.86777777777778
2018-02-11,25.86777777777778
2018-02-18,25.86777777777778
2018-02-25,28.19396551724137
2018-03-04,28.19396551724137
2018-03-11,28.19396551724137
2018-03-18,28.19396551724137
2018-03-25,29.638461538461534
2018-04-01,29.638461538461534
2018-04-08,29.638461538461534
2018-04-15,29.638461538461534
2018-04-22,29.638461538461534
2018-04-29,29.638461538461534
2018-05-06,29.638461538461534
2018-05-13,29.638461538461534
2018-05-20,29.638461538461534
2018-05-27,29.726666666666663
2018-06-03,29.726666666666663
2018-06-10,29.726666666666663
2018-06-17,29.726666666666663
2018-06-24,32.48
2018-07-01,32.48
2018-07-08,32.48
2018-07-15,32.48
2018-07-22,32.77600000000001
2018-07-29,32.77600000000001
2018-08-05,32.77600000000001
2018-08-12,32.77600000000001
2018-08-19,32.77600000000001
2018-08-26,36.707857142857144
2018-09-02,36.707857142857144
2018-09-09,36.707857142857144
2018-09-16,36.707857142857144
2018-09-23,40.04608695652174
2018-09-30,40.04608695652174
2018-10-07,40.04608695652174
2018-10-14,40.04608695652174
2018-10-21,43.92104166666667
2018-10-28,43.92104166666667
2018-11-04,43.92104166666667
2018-11-11,43.92104166666667
2018-11-18,43.92104166666667
2018-11-25,45.68333333333334
2018-12-02,45.68333333333334
2018-12-09,45.68333333333334
2018-12-16,45.68333333333334
2018-12-23,43.18615384615385
2018-12-30,43.18615384615385
2019-01-06,43.18615384615385
2019-01-13,43.18615384615385
2019-01-20,43.18615384615385
2019-01-27,43.0
2019-02-03,43.0
2019-02-10,43.0
2019-02-17,43.0
2019-02-24,39.76666666666667
2019-03-03,39.76666666666667
2019-03-10,39.76666666666667
2019-03-17,39.76666666666667
2019-03-24,44.71157894736842
2019-03-31,44.71157894736842
2019-04-07,44.71157894736842
2019-04-14,44.71157894736842
2019-04-21,47.934138888888896
2019-04-28,47.934138888888896
2019-05-05,47.934138888888896
2019-05-12,47.934138888888896
2019-05-19,47.934138888888896
2019-05-26,48.20761904761905
2019-06-02,48.20761904761905
2019-06-09,48.20761904761905
2019-06-16,48.20761904761905
2019-06-23,49.56809523809525
2019-06-30,49.56809523809525
2019-07-07,49.56809523809525
2019-07-14,49.56809523809525
2019-07-21,50.11562499999999
2019-07-28,50.11562499999999
2019-08-04,50.11562499999999
2019-08-11,50.11562499999999
2019-08-18,50.11562499999999
2019-08-25,50.82333333333333
2019-09-01,50.82333333333333
2019-09-08,50.82333333333333
2019-09-15,50.82333333333333
2019-09-22,53.1464516129032
2019-09-29,53.1464516129032
2019-10-06,53.1464516129032
2019-10-13,53.1464516129032
2019-10-20,53.1464516129032
2019-10-27,54.8
2019-11-03,54.8
2019-11-10,54.8
2019-11-17,54.8
2019-11-24,56.09210526315792
2019-12-01,56.09210526315792
2019-12-08,56.09210526315792
2019-12-15,56.09210526315792
2019-12-22,60.48275675675672
2019-12-29,60.48275675675672
2020-01-05,60.48275675675672
2020-01-12,60.48275675675672
2020-01-19,60.48275675675672
2020-01-26,63.64857142857144
2020-02-02,63.64857142857144
2020-02-09,63.64857142857144
2020-02-16,63.64857142857144
2020-02-23,58.62222222222223
2020-03-01,58.62222222222223
2020-03-08,58.62222222222223
2020-03-15,58.62222222222223
2020-03-22,60.64703703703704
2020-03-29,60.64703703703704
2020-04-05,60.64703703703704
2020-04-12,60.64703703703704
2020-04-19,60.64703703703704
2020-04-26,64.65333333333332
2020-05-03,64.65333333333332
2020-05-10,64.65333333333332
2020-05-17,64.65333333333332
2020-05-24,60.52
2020-05-31,60.52
2020-06-07,60.52
2020-06-14,60.52
2020-06-21,60.52
2020-06-28,60.52
2020-07-05,60.52
2020-07-12,60.52
2020-07-19,60.52
2020-07-26,63.37500000000001
2020-08-02,63.37500000000001
2020-08-09,63.37500000000001
2020-08-16,63.37500000000001
2020-08-23,64.37745762711864
2020-08-30,64.37745762711864
2020-09-06,64.37745762711864
2020-09-13,64.37745762711864
2020-09-20,64.37745762711864
2020-09-27,65.68490909090907
2020-10-04,65.68490909090907
2020-10-11,65.68490909090907
2020-10-18,65.68490909090907
2020-10-25,67.91390624999994
